w1,w2,w3,d1,d2,d3,scenario_number
0.0,10.0,24.0,7,77,175,138
0.0,10.0,25.0,7,77,182,139
0.0,10.0,26.0,7,77,189,140
0.0,10.0,27.0,7,77,196,141
0.0,10.0,28.0,7,77,203,142
0.0,10.0,29.0,7,77,210,143
0.0,10.0,30.0,7,77,217,144
0.0,10.0,31.0,7,77,224,145
0.0,10.0,32.0,7,77,231,146
0.0,10.0,33.0,7,77,238,147
0.0,10.0,34.0,7,77,245,148
0.0,10.0,35.0,7,77,252,149
0.0,10.0,36.0,7,77,259,150
0.0,10.0,37.0,7,77,266,151
0.0,10.0,38.0,7,77,273,152
0.0,10.0,39.0,7,77,280,153
0.0,10.0,40.0,7,77,287,154
0.0,10.0,41.0,7,77,294,155
0.0,10.0,42.0,7,77,301,156
0.0,10.0,43.0,7,77,308,157
0.0,10.0,44.0,7,77,315,158
0.0,10.0,45.0,7,77,322,159
0.0,11.0,17.0,7,84,126,160
0.0,11.0,18.0,7,84,133,161
0.0,11.0,19.0,7,84,140,162
0.0,11.0,20.0,7,84,147,163
0.0,11.0,21.0,7,84,154,164
0.0,11.0,22.0,7,84,161,165
0.0,11.0,23.0,7,84,168,166
0.0,11.0,24.0,7,84,175,167
0.0,11.0,25.0,7,84,182,168
0.0,11.0,26.0,7,84,189,169
0.0,11.0,27.0,7,84,196,170
0.0,11.0,28.0,7,84,203,171
0.0,11.0,29.0,7,84,210,172
0.0,11.0,30.0,7,84,217,173
0.0,11.0,31.0,7,84,224,174
0.0,11.0,32.0,7,84,231,175
0.0,11.0,33.0,7,84,238,176
0.0,11.0,34.0,7,84,245,177
0.0,11.0,35.0,7,84,252,178
0.0,11.0,36.0,7,84,259,179
0.0,11.0,37.0,7,84,266,180
0.0,11.0,38.0,7,84,273,181
0.0,11.0,39.0,7,84,280,182
0.0,11.0,40.0,7,84,287,183
0.0,11.0,41.0,7,84,294,184
0.0,11.0,42.0,7,84,301,185
0.0,11.0,43.0,7,84,308,186
0.0,11.0,44.0,7,84,315,187
0.0,11.0,45.0,7,84,322,188
0.0,12.0,18.0,7,91,133,189
0.0,12.0,19.0,7,91,140,190
0.0,12.0,20.0,7,91,147,191
0.0,12.0,21.0,7,91,154,192
0.0,12.0,22.0,7,91,161,193
0.0,12.0,23.0,7,91,168,194
0.0,12.0,24.0,7,91,175,195
0.0,12.0,25.0,7,91,182,196
0.0,12.0,26.0,7,91,189,197
0.0,12.0,27.0,7,91,196,198
0.0,12.0,28.0,7,91,203,199
0.0,12.0,29.0,7,91,210,200
0.0,12.0,30.0,7,91,217,201
0.0,12.0,31.0,7,91,224,202
0.0,12.0,32.0,7,91,231,203
0.0,12.0,33.0,7,91,238,204
0.0,12.0,34.0,7,91,245,205
0.0,12.0,35.0,7,91,252,206
0.0,12.0,36.0,7,91,259,207
0.0,12.0,37.0,7,91,266,208
0.0,12.0,38.0,7,91,273,209
0.0,12.0,39.0,7,91,280,210
0.0,12.0,40.0,7,91,287,211
0.0,12.0,41.0,7,91,294,212
0.0,12.0,42.0,7,91,301,213
0.0,12.0,43.0,7,91,308,214
0.0,12.0,44.0,7,91,315,215
0.0,12.0,45.0,7,91,322,216
0.0,13.0,19.0,7,98,140,217
0.0,13.0,20.0,7,98,147,218
0.0,13.0,21.0,7,98,154,219
0.0,13.0,22.0,7,98,161,220
0.0,13.0,23.0,7,98,168,221
0.0,13.0,24.0,7,98,175,222
0.0,13.0,25.0,7,98,182,223
0.0,13.0,26.0,7,98,189,224
0.0,13.0,27.0,7,98,196,225
0.0,13.0,28.0,7,98,203,226
0.0,13.0,29.0,7,98,210,227
0.0,13.0,30.0,7,98,217,228
0.0,13.0,31.0,7,98,224,229
0.0,13.0,32.0,7,98,231,230
0.0,13.0,33.0,7,98,238,231
0.0,13.0,34.0,7,98,245,232
0.0,13.0,35.0,7,98,252,233
0.0,13.0,36.0,7,98,259,234
0.0,13.0,37.0,7,98,266,235
0.0,13.0,38.0,7,98,273,236
0.0,13.0,39.0,7,98,280,237
0.0,13.0,40.0,7,98,287,238
0.0,13.0,41.0,7,98,294,239
0.0,13.0,42.0,7,98,301,240
0.0,13.0,43.0,7,98,308,241
0.0,13.0,44.0,7,98,315,242
0.0,13.0,45.0,7,98,322,243
0.0,14.0,20.0,7,105,147,244
0.0,14.0,21.0,7,105,154,245
0.0,14.0,22.0,7,105,161,246
0.0,14.0,23.0,7,105,168,247
0.0,14.0,24.0,7,105,175,248
0.0,14.0,25.0,7,105,182,249
0.0,14.0,26.0,7,105,189,250
0.0,14.0,27.0,7,105,196,251
0.0,14.0,28.0,7,105,203,252
0.0,14.0,29.0,7,105,210,253
0.0,14.0,30.0,7,105,217,254
0.0,14.0,31.0,7,105,224,255
0.0,14.0,32.0,7,105,231,256
0.0,14.0,33.0,7,105,238,257
0.0,14.0,34.0,7,105,245,258
0.0,14.0,35.0,7,105,252,259
0.0,14.0,36.0,7,105,259,260
0.0,14.0,37.0,7,105,266,261
0.0,14.0,38.0,7,105,273,262
0.0,14.0,39.0,7,105,280,263
0.0,14.0,40.0,7,105,287,264
0.0,14.0,41.0,7,105,294,265
0.0,14.0,42.0,7,105,301,266
0.0,14.0,43.0,7,105,308,267
0.0,14.0,44.0,7,105,315,268
0.0,14.0,45.0,7,105,322,269
0.0,15.0,21.0,7,112,154,270
0.0,15.0,22.0,7,112,161,271
0.0,15.0,23.0,7,112,168,272
0.0,15.0,24.0,7,112,175,273
0.0,15.0,25.0,7,112,182,274
0.0,15.0,26.0,7,112,189,275
0.0,15.0,27.0,7,112,196,276
0.0,15.0,28.0,7,112,203,277
0.0,15.0,29.0,7,112,210,278
0.0,15.0,30.0,7,112,217,279
0.0,15.0,31.0,7,112,224,280
0.0,15.0,32.0,7,112,231,281
0.0,15.0,33.0,7,112,238,282
0.0,15.0,34.0,7,112,245,283
0.0,15.0,35.0,7,112,252,284
0.0,15.0,36.0,7,112,259,285
0.0,15.0,37.0,7,112,266,286
0.0,15.0,38.0,7,112,273,287
0.0,15.0,39.0,7,112,280,288
0.0,15.0,40.0,7,112,287,289
0.0,15.0,41.0,7,112,294,290
0.0,15.0,42.0,7,112,301,291
0.0,15.0,43.0,7,112,308,292
0.0,15.0,44.0,7,112,315,293
0.0,15.0,45.0,7,112,322,294
0.0,16.0,22.0,7,119,161,295
0.0,16.0,23.0,7,119,168,296
0.0,16.0,24.0,7,119,175,297
0.0,16.0,25.0,7,119,182,298
