iptsc_rdts_used,iptsc_drugs_used,cases_treated,severe_cases_treated,received_smc,received_ivermectin,received_primaquine,pfpr0_5,pfpr2_10,pfpr6_15,pfpr16_500,pfpr_all,clinical_incidence0_5,clinical_incidence2_10,clinical_incidence6_15,clinical_incidence16_500,clinical_incidence_all,severe_incidence0_5,severe_incidence2_10,severe_incidence6_15,severe_incidence16_500,severe_incidence_all,pop0_5,pop2_10,pop6_15,pop16_500,pop_all,avg_age,avg_age_clinical_cases,avg_age_severe_cases,sim_id,archetype,baseline_eir,Run_Number,scenario_number
0,6155,1824,0,6622,0,0,0.036800269411883337,0.07267010520194829,0.11601784648254106,0.11990722211238483,0.10328931199392123,0.3963083572577888,0.6398475192128257,0.9199174835234201,0.5061988513364499,0.5863840488277605,0.0,0.0,0.0008191607169183338,0.0,0.00019979013492295119,943.7095890411,1272.1780821917998,1220.7616438356,2840.7808219178123,5005.252054794511,27.893727520188712,28.597136716028604,15.000000000000002,ef76c8d9-a8d0-ec11-a9f8-b88303911bc1,Sahel,1,0,0
0,6320,2076,0,6751,0,0,0.042930148551589706,0.08259201724630315,0.12803922401555348,0.12991677710869315,0.11250985495148286,0.4619800369472699,0.6996903734274428,0.9792589319164028,0.5312934214106642,0.6271077311274951,0.0,0.0007714336813043661,0.0016320981756769864,0.0,0.0003982900674214208,978.3972602739999,1296.2876712329,1225.4164383563,2817.652054794471,5021.465753424771,27.708064282927204,26.28417403605847,13.722778289348,f076c8d9-a8d0-ec11-a9f8-b88303911bc1,Sahel,1,1,0
0,6174,1716,0,6709,0,0,0.03770823761635112,0.07174756885296484,0.11176531072991863,0.1141556976671016,0.09886496257372053,0.4099239330722929,0.6539124945258398,0.9162408429010848,0.4816790688906981,0.5739460273101664,0.0010351614269352393,0.0007840677208121832,0.0,0.0,0.00019914851157501085,966.0328767123,1275.4,1225.6602739725,2829.6849315068953,5021.3780821916935,27.895668547029228,29.04348763696336,6.000000000000001,f176c8d9-a8d0-ec11-a9f8-b88303911bc1,Sahel,1,2,0
0,6178,1766,0,6823,0,0,0.040576228470714425,0.07753622567826646,0.1219648747276456,0.12589223853573525,0.1082998272294431,0.4517466197020034,0.6790923031049655,0.9306555837371226,0.5406295600937411,0.6182279790378932,0.0,0.0007814640844395214,0.0016413678135202786,0.0,0.00039950110324200335,976.2109589041,1279.6493150685,1218.4958904108998,2811.536986301283,5006.243835616282,27.779210509178014,34.95409071176616,12.518361021003491,f276c8d9-a8d0-ec11-a9f8-b88303911bc1,Sahel,1,3,0
0,6201,1671,0,6656,0,0,0.04346298605372323,0.07817974678102974,0.12296177552497313,0.11949304333298714,0.10586324220095927,0.4446079407976253,0.6559188357236835,0.9275138866242879,0.5084039487474059,0.5989158896334783,0.0010510825848683255,0.0,0.0,0.00035453554158348645,0.0004003448461539538,951.4,1274.5479452056002,1223.7013698631,2820.591780821905,4995.693150685005,27.86294276494597,26.426685049156248,12.9894267195219,f376c8d9-a8d0-ec11-a9f8-b88303911bc1,Sahel,1,4,0
0,5948,3113,0,6684,0,0,0.12445006724566235,0.19211603448960707,0.2602672310418864,0.17938807527682146,0.1882537405830054,1.3728373071820459,1.4569959552516296,1.4193212497003336,0.4520589609437189,0.8702853039077442,0.0031200847920894344,0.0024122450226006327,0.0016866563189869106,0.00036872672484700766,0.0012347391523694932,961.5123287671,1243.6547945206,1185.7780821919,2712.0356164383506,4859.326027397351,27.88365430912655,19.4899886420277,8.433242541146441,83afee11-a9d0-ec11-a9f8-b88303911bc1,Sahel,10,0,0
0,6082,3354,0,6583,0,0,0.12109316276890852,0.18699099423866586,0.2577855107547284,0.18759945948054446,0.19160822583070705,1.3883365551421718,1.5011397259336063,1.4826684460604247,0.4705890011624619,0.8983367094613706,0.0010352994167485794,0.0,0.0016734407142995381,0.0,0.000612224021628851,965.904109589,1246.3863013699001,1195.1424657533998,2739.120547945226,4900.167123287626,27.876065731054677,19.475477055657613,12.74982240544959,84afee11-a9d0-ec11-a9f8-b88303911bc1,Sahel,10,1,0
0,6061,3347,0,6488,0,0,0.11806691577840488,0.1858369452217295,0.2607786796103307,0.18862759972817786,0.19250961390813853,1.4665449600480809,1.5511307480613363,1.4691424408808376,0.47926772836495296,0.9143440247799904,0.0041901284426221295,0.0016250715258706305,0.002507069012258065,0.0,0.0014318586430067009,954.6246575342999,1230.7150684931,1196.6164383562,2737.5095890411562,4888.750684931657,27.932112526717592,17.710665553639842,7.7004718160502055,85afee11-a9d0-ec11-a9f8-b88303911bc1,Sahel,10,2,0
0,6039,3295,0,6591,0,0,0.12160236629172395,0.19257359624345505,0.2611060326968149,0.19079338277512947,0.19431150175212009,1.3817067494845323,1.504647904073988,1.484666767046434,0.4863288144914446,0.9058131429955292,0.003114290167108379,0.001622261905189791,0.0016766423169712016,0.0,0.0010214401686027873,963.3013698629,1232.8465753423998,1192.8602739725502,2738.8876712328274,4895.049315068278,28.007739438169175,19.72269677110952,6.074471074588286,86afee11-a9d0-ec11-a9f8-b88303911bc1,Sahel,10,3,0
0,5936,3130,0,6522,0,0,0.11562380611784928,0.17937695424564706,0.2513613319146277,0.18521800903829344,0.1876361030150646,1.340982810329408,1.4424278781516042,1.42233394839644,0.4843068853737731,0.8791026091053853,0.0,0.00081172081889012,0.0016922474653401065,0.0,0.0004100292128118652,953.7780821918,1231.9506849314998,1181.8602739726,2742.0630136986333,4877.701369863034,28.06754248155279,20.860272904108566,11.229842003705805,87afee11-a9d0-ec11-a9f8-b88303911bc1,Sahel,10,4,0
