iptsc_rdts_used,iptsc_drugs_used,cases_treated,severe_cases_treated,received_smc,received_ivermectin,received_primaquine,pfpr0_5,pfpr2_10,pfpr6_15,pfpr16_500,pfpr_all,clinical_incidence0_5,clinical_incidence2_10,clinical_incidence6_15,clinical_incidence16_500,clinical_incidence_all,severe_incidence0_5,severe_incidence2_10,severe_incidence6_15,severe_incidence16_500,severe_incidence_all,pop0_5,pop2_10,pop6_15,pop16_500,pop_all,avg_age,avg_age_clinical_cases,avg_age_severe_cases,sim_id,archetype,baseline_eir,Run_Number,scenario_number
0,6155,1824,0,6622,0,0,0.036800269411883337,0.07267010520194829,0.11601784648254103,0.11990722211238482,0.10328931199392122,0.3963083572577888,0.6398475192128257,0.91991748352342,0.5061988513364499,0.5863840488277605,0.0,0.0,0.0008191607169183338,0.0,0.00019979013492295113,943.7095890410999,1272.1780821918,1220.7616438356001,2840.7808219178123,5005.252054794511,27.893727520188712,28.597136716028604,15.000000000000002,ef76c8d9-a8d0-ec11-a9f8-b88303911bc1,Sahel,1,0,0
0,6320,2076,0,6751,0,0,0.042930148551589706,0.08259201724630315,0.12803922401555348,0.12991677710869315,0.11250985495148286,0.4619800369472699,0.6996903734274428,0.9792589319164027,0.5312934214106642,0.6271077311274951,0.0,0.0007714336813043661,0.0016320981756769862,0.0,0.0003982900674214208,978.3972602739999,1296.2876712329,1225.4164383563,2817.652054794471,5021.46575342477,27.708064282927204,26.284174036058467,13.722778289348,f076c8d9-a8d0-ec11-a9f8-b88303911bc1,Sahel,1,1,0
0,6174,1716,0,6709,0,0,0.03770823761635112,0.07174756885296484,0.11176531072991865,0.1141556976671016,0.09886496257372053,0.40992393307229286,0.6539124945258398,0.9162408429010847,0.48167906889069806,0.5739460273101664,0.0010351614269352393,0.0007840677208121832,0.0,0.0,0.00019914851157501085,966.0328767122999,1275.3999999999999,1225.6602739725,2829.684931506895,5021.378082191694,27.895668547029224,29.043487636963356,6.000000000000001,f176c8d9-a8d0-ec11-a9f8-b88303911bc1,Sahel,1,2,0
0,6178,1766,0,6823,0,0,0.040576228470714425,0.07753622567826646,0.12196487472764561,0.12589223853573525,0.1082998272294431,0.4517466197020034,0.6790923031049655,0.9306555837371226,0.540629560093741,0.6182279790378932,0.0,0.0007814640844395214,0.0016413678135202784,0.0,0.0003995011032420034,976.2109589040999,1279.6493150685,1218.4958904108998,2811.536986301283,5006.243835616282,27.779210509178018,34.95409071176616,12.518361021003491,f276c8d9-a8d0-ec11-a9f8-b88303911bc1,Sahel,1,3,0
0,6201,1671,0,6656,0,0,0.04346298605372323,0.07817974678102974,0.12296177552497313,0.11949304333298714,0.10586324220095927,0.4446079407976253,0.6559188357236835,0.927513886624288,0.5084039487474059,0.5989158896334783,0.0010510825848683255,0.0,0.0,0.00035453554158348645,0.00040034484615395383,951.4,1274.5479452056002,1223.7013698631,2820.5917808219046,4995.693150685005,27.862942764945966,26.426685049156244,12.9894267195219,f376c8d9-a8d0-ec11-a9f8-b88303911bc1,Sahel,1,4,0
0,5948,3113,0,6684,0,0,0.12445006724566236,0.19211603448960707,0.2602672310418864,0.17938807527682146,0.1882537405830054,1.372837307182046,1.4569959552516296,1.4193212497003336,0.4520589609437189,0.8702853039077442,0.0031200847920894344,0.0024122450226006335,0.0016866563189869104,0.00036872672484700766,0.0012347391523694932,961.5123287671,1243.6547945206,1185.7780821919,2712.0356164383506,4859.326027397351,27.88365430912655,19.4899886420277,8.433242541146441,83afee11-a9d0-ec11-a9f8-b88303911bc1,Sahel,10,0,0
0,6082,3354,0,6583,0,0,0.12109316276890851,0.18699099423866586,0.2577855107547284,0.18759945948054452,0.19160822583070702,1.3883365551421718,1.5011397259336063,1.4826684460604247,0.4705890011624619,0.8983367094613706,0.0010352994167485794,0.0,0.001673440714299538,0.0,0.000612224021628851,965.9041095890001,1246.3863013699001,1195.1424657533998,2739.120547945226,4900.167123287626,27.876065731054673,19.475477055657613,12.74982240544959,84afee11-a9d0-ec11-a9f8-b88303911bc1,Sahel,10,1,0
0,6061,3347,0,6488,0,0,0.11806691577840489,0.1858369452217295,0.2607786796103307,0.18862759972817786,0.19250961390813853,1.4665449600480807,1.5511307480613363,1.4691424408808376,0.479267728364953,0.9143440247799903,0.0041901284426221295,0.0016250715258706305,0.0025070690122580646,0.0,0.0014318586430067007,954.6246575343,1230.7150684931,1196.6164383562,2737.509589041156,4888.750684931657,27.93211252671759,17.710665553639842,7.700471816050205,85afee11-a9d0-ec11-a9f8-b88303911bc1,Sahel,10,2,0
0,6039,3295,0,6591,0,0,0.12160236629172395,0.19257359624345505,0.26110603269681487,0.19079338277512947,0.19431150175212006,1.3817067494845325,1.504647904073988,1.484666767046434,0.4863288144914446,0.9058131429955291,0.0031142901671083792,0.001622261905189791,0.0016766423169712016,0.0,0.0010214401686027873,963.3013698629,1232.8465753423998,1192.8602739725502,2738.8876712328274,4895.049315068278,28.007739438169168,19.72269677110952,6.074471074588286,86afee11-a9d0-ec11-a9f8-b88303911bc1,Sahel,10,3,0
0,5936,3130,0,6522,0,0,0.11562380611784927,0.17937695424564706,0.2513613319146277,0.18521800903829344,0.1876361030150646,1.340982810329408,1.4424278781516042,1.42233394839644,0.4843068853737731,0.8791026091053853,0.0,0.00081172081889012,0.0016922474653401065,0.0,0.00041002921281186515,953.7780821918,1231.9506849315,1181.8602739726,2742.0630136986338,4877.701369863034,28.06754248155279,20.860272904108566,11.229842003705803,87afee11-a9d0-ec11-a9f8-b88303911bc1,Sahel,10,4,0
