"","baseline_eir","scenario_number","archetype","drug_type","Scenario","cost.CHW","cost.RDT","cost.drug","cost.ACT","cost.smc","cost.facility","cost.severe","cost.bednet","cost.iver","cost.prim","cost.CHW.d","cost.RDT.d","cost.drug.d","cost.facility.d","cost.severe.d","cost.d","cost.smc.ref","cost.smc.low","cost.low","cost","cases"
"1",1,42,"Southern","None","Southern_42_1",0,199.978029641769,0,91.7451545855776,0,3982.75769239359,982.251222966728,12998.2100390914,0,0,0,199.978029641769,0,3982.75769239359,982.251222966728,18254.9421386791,0,0,18254.9421386791,18254.9421386791,3373.39999783328
"2",1,43,"Southern","None","Southern_43_1",0,349.690232653095,0,160.554772699679,0,6971.71736888896,848.159573117008,12998.2100390914,0,0,0,349.690232653095,0,6971.71736888896,848.159573117008,21328.3319864501,0,0,21328.3319864501,21328.3319864501,3247.99999905152
"3",3,42,"Southern","None","Southern_42_3",0,346.008857771712,0,158.777571532305,0,6894.99463134063,1514.22248976809,12998.2100390914,0,0,0,346.008857771712,0,6894.99463134063,1514.22248976809,21912.2135895041,0,0,21912.2135895041,21912.2135895041,4374.39999235273
"4",10,42,"Southern","None","Southern_42_10",0,437.332609886835,0,200.80697899932,0,8705.66002192693,1950.635643011,12998.2100390914,0,0,0,437.332609886835,0,8705.66002192693,1950.635643011,24292.6452929155,0,0,24292.6452929155,24292.6452929155,5047.1999955015
"5",1,44,"Southern","None","Southern_44_1",0,540.588649709648,0,248.456191909496,0,10753.8024898839,628.467689058278,12998.2100390914,0,0,0,540.588649709648,0,10753.8024898839,628.467689058278,25169.5250596527,0,0,25169.5250596527,25169.5250596527,3338.60000284908
"6",1,30,"Southern","None","Southern_30_1",0,578.955116250377,0,265.85734696159,0,11545.4474613232,289.648887923127,12998.2100390914,0,0,0,578.955116250377,0,11545.4474613232,289.648887923127,25678.1188515497,0,0,25678.1188515497,25678.1188515497,2584.00000143198
"7",1,42,"Central","None","Central_42_1",0,576.739620297515,0,264.593262546169,0,11489.0729948584,1759.41172783786,12998.2100390914,0,0,0,576.739620297515,0,11489.0729948584,1759.41172783786,27088.0276446313,0,0,27088.0276446313,27088.0276446313,7228.60000060928
"8",30,42,"Southern","None","Southern_42_30",0,546.871158814877,0,250.976096055827,0,10895.4728419997,2472.70987755019,12998.2100390914,0,0,0,546.871158814877,0,10895.4728419997,2472.70987755019,27164.240013512,0,0,27164.240013512,27164.240013512,5755.20000238255
"9",3,42,"Central","None","Central_42_3",0,605.000242232252,0,277.753410201653,0,12043.4021331287,1709.7879271623,12998.2100390914,0,0,0,605.000242232252,0,12043.4021331287,1709.7879271623,27634.1537518163,0,0,27634.1537518163,27634.1537518163,7099.19999102482
"10",1,19,"Southern","DP","Southern_19_1",466.377137243543,2589.73111026121,1145.71876714308,241.402966294171,0,10443.0432422217,120.593987602542,12998.2100390914,0,0,466.377137243543,2589.73111026121,1145.71876714308,10443.0432422217,120.593987602542,28005.0772498576,0,0,28005.0772498576,28005.0772498576,2182.6000002531
"11",1,31,"Southern","None","Southern_31_1",0,519.44582611463,0,238.521510392817,0,10355.4558667092,206.326680219097,16711.9843359747,0,0,0,519.44582611463,0,10355.4558667092,206.326680219097,28031.7342194105,0,0,28031.7342194105,28031.7342194105,2581.60000098736
"12",1,18,"Southern","DP","Southern_18_1",525.552847304585,2888.44426049035,1294.89823827728,236.802607393415,0,10253.1563533261,237.84057965916,12998.2100390914,0,0,525.552847304585,2888.44426049035,1294.89823827728,10253.1563533261,237.84057965916,28434.9049255423,0,0,28434.9049255423,28434.9049255423,2526.00000424482
"13",1,20,"Southern","DP","Southern_20_1",405.265781709583,2260.55274362111,1011.82011547367,256.383003421642,0,11137.4520917628,421.497388134788,12998.2100390914,0,0,405.265781709583,2260.55274362111,1011.82011547367,11137.4520917628,421.497388134788,28491.181163215,0,0,28491.181163215,28491.181163215,2499.39999524356
"14",3,43,"Southern","None","Southern_43_3",0,667.438137355654,0,306.355971883376,0,13296.8232253776,1474.17804231599,12998.2100390914,0,0,0,667.438137355654,0,13296.8232253776,1474.17804231599,28743.0054160241,0,0,28743.0054160241,28743.0054160241,4313.59999575276
"15",1,45,"Southern","None","Southern_45_1",0,734.270604965794,0,337.391045026807,0,14588.7331305934,339.66860330219,12998.2100390914,0,0,0,734.270604965794,0,14588.7331305934,339.66860330219,28998.2734229796,0,0,28998.2734229796,28998.2734229796,2754.60000183422
"16",1,7,"Southern","ASAQ","Southern_7_1",517.184989190967,2681.26822104001,371.455319153867,288.194782743642,0,12524.9006725105,263.603403434082,12998.2100390914,0,0,517.184989190967,2681.26822104001,371.455319153867,12524.9006725105,263.603403434082,29644.8174271645,0,0,29644.8174271645,29644.8174271645,2712.80000446888
"17",1,6,"Southern","ASAQ","Southern_6_1",585.262331606726,2971.62970177001,420.042456632115,278.245563075764,0,12075.2947346894,451.57598531718,12998.2100390914,0,0,585.262331606726,2971.62970177001,420.042456632115,12075.2947346894,451.57598531718,29780.2608121826,0,0,29780.2608121826,29780.2608121826,2787.40000411091
"18",100,42,"Southern","None","Southern_42_100",0,645.990106981287,0,296.434249461763,0,12863.3866414715,3239.54250370033,12998.2100390914,0,0,0,645.990106981287,0,12863.3866414715,3239.54250370033,30043.5635407063,0,0,30043.5635407063,30043.5635407063,6156.19998206252
"19",1,50,"Southern","DP","Southern_50_1",1175.18913581549,606.566653344151,2932.36963913127,277.971800633797,0,12084.4000971571,393.301571404013,12998.2100390914,0,0,1175.18913581549,606.566653344151,2932.36963913127,12084.4000971571,393.301571404013,30468.0089365773,0,0,30468.0089365773,30468.0089365773,2541.00000323112
"20",1,11,"Southern","ASAQ","Southern_11_1",918.136889207429,7192.88196529764,646.688620754053,192.578118731404,0,8343.63873006622,284.293137456735,12998.2100390914,0,0,918.136889207429,7192.88196529764,646.688620754053,8343.63873006622,284.293137456735,30576.4275006049,0,0,30576.4275006049,30576.4275006049,1826.19999827225
"21",1,52,"Southern","DP","Southern_52_1",2068.6999857522,473.846736461122,5141.47009669746,216.964606090654,0,9409.68536500274,321.33071218127,12998.2100390914,0,0,2068.6999857522,473.846736461122,5141.47009669746,9409.68536500274,321.33071218127,30630.2075412768,0,0,30630.2075412768,30630.2075412768,2037.79999783863
"22",10,42,"Central","None","Central_42_10",0,709.250697550456,0,325.449713791705,0,14128.6421925777,2521.76485471479,12998.2100390914,0,0,0,709.250697550456,0,14128.6421925777,2521.76485471479,30683.317497726,0,0,30683.317497726,30683.317497726,7367.39999394946
