"","baseline_eir","scenario_number","archetype","drug_type","Scenario","cost.CHW","cost.RDT","cost.drug","cost.ACT","cost.smc","cost.facility","cost.severe","cost.bednet","cost.iver","cost.prim","cost.CHW.d","cost.RDT.d","cost.drug.d","cost.facility.d","cost.severe.d","cost.d","cost.smc.ref","cost.smc.low","cost.low","cost","cases"
"1",1,42,"Southern","None","Southern_42_1",0,242.4,0,348.45,0,4883.35,744.20000595245,8680,0,0,0,242.4,0,4883.35,744.20000595245,14898.4000059524,0,0,14898.4000059524,14898.4000059524,3373.39999783328
"2",1,43,"Southern","None","Southern_43_1",0,424.032,0,609.546,0,8542.478,658.800002688209,8680,0,0,0,424.032,0,8542.478,658.800002688209,18914.8560026882,0,0,18914.8560026882,18914.8560026882,3247.99999905152
"3",3,42,"Southern","None","Southern_42_3",0,419.52,0,603.06,0,8451.58,1171.1999997307,8680,0,0,0,419.52,0,8451.58,1171.1999997307,19325.3599997307,0,0,19325.3599997307,19325.3599997307,4374.39999235273
"4",10,42,"Southern","None","Southern_42_10",0,530.304,0,762.312,0,10683.416,1500.59998916984,8680,0,0,0,530.304,0,10683.416,1500.59998916984,22156.6319891698,0,0,22156.6319891698,22156.6319891698,5047.1999955015
"5",1,44,"Southern","None","Southern_44_1",0,655.68,0,942.54,0,13209.22,488.000004434423,8680,0,0,0,655.68,0,13209.22,488.000004434423,23975.4400044344,0,0,23975.4400044344,23975.4400044344,3338.60000284908
"6",1,30,"Southern","None","Southern_30_1",0,701.952,0,1009.056,0,14141.408,231.80000034159,8680,0,0,0,701.952,0,14141.408,231.80000034159,24764.2160003416,0,0,24764.2160003416,24764.2160003416,2584.00000143198
"7",1,50,"Sahel","None","Sahel_50_1",0,318.624,0,458.022,8642.73,6418.946,512.399999233461,8680,0,0,0,318.624,0,6418.946,512.399999233461,25030.7219992335,8654.06,8642.73,25030.7219992335,25030.7219992335,4033.99999510935
"8",30,42,"Southern","None","Southern_42_30",0,663.264,0,953.442,0,13362.006,1890.99998234222,8680,0,0,0,663.264,0,13362.006,1890.99998234222,25549.7119823422,0,0,25549.7119823422,25549.7119823422,5755.20000238255
"9",1,31,"Southern","None","Southern_31_1",0,629.76,0,905.28,0,12687.04,170.800001254887,11160,0,0,0,629.76,0,12687.04,170.800001254887,25552.8800012549,0,0,25552.8800012549,25552.8800012549,2581.60000098736
"10",1,42,"Central","None","Central_42_1",0,699.072,0,1004.916,0,14083.388,1378.59999801727,8680,0,0,0,699.072,0,14083.388,1378.59999801727,25845.9759980173,0,0,25845.9759980173,25845.9759980173,7228.60000060928
"11",3,42,"Central","None","Central_42_3",0,733.728,0,1054.734,0,14781.562,1305.3999973407,8680,0,0,0,733.728,0,14781.562,1305.3999973407,26555.4239973407,0,0,26555.4239973407,26555.4239973407,7099.19999102482
"12",1,19,"Southern","DP","Southern_19_1",384.06,3140.736,1110.66,916.458,0,12843.694,97.600000010775,8680,0,0,384.06,3140.736,1110.66,12843.694,97.600000010775,27173.2080000108,0,0,27173.2080000108,27173.2080000108,2182.6000002531
"13",1,18,"Southern","DP","Southern_18_1",431.716,3502.944,1248.476,898.794,0,12596.142,183.000000659146,8680,0,0,431.716,3502.944,1248.476,12596.142,183.000000659146,27541.0720006591,0,0,27541.0720006591,27541.0720006591,2526.00000424482
"14",1,20,"Southern","DP","Southern_20_1",336.404,2741.76,972.844,974.004,0,13650.172,329.400000376165,8680,0,0,336.404,2741.76,972.844,13650.172,329.400000376165,27684.5840003762,0,0,27684.5840003762,27684.5840003762,2499.39999524356
"15",1,38,"Southern","DP","Southern_38_1",3867.388,160.8,11184.068,231.15,0,3239.45,414.799996182527,8680,0,0,3867.388,160.8,11184.068,3239.45,414.799996182527,27777.6559961825,0,0,27777.6559961825,27777.6559961825,2317.19998839237
"16",3,50,"Sahel","None","Sahel_50_3",0,433.152,0,622.656,9005.805,8726.208,524.59999874054,8680,0,0,0,433.152,0,8726.208,524.59999874054,27992.4209987405,8923.92,9005.805,27992.4209987405,27992.4209987405,4798.19998531175
"17",3,43,"Southern","None","Southern_43_3",0,809.376,0,1163.478,0,16305.554,1134.59999398563,8680,0,0,0,809.376,0,16305.554,1134.59999398563,28093.0079939856,0,0,28093.0079939856,28093.0079939856,4313.59999575276
"18",1,53,"Southern","DP","Southern_53_1",2567.504,429.024,7424.944,616.722,0,8643.046,109.800000478801,8680,0,0,2567.504,429.024,7424.944,8643.046,109.800000478801,28471.0400004788,0,0,28471.0400004788,28471.0400004788,1473.80000127744
"19",1,52,"Southern","DP","Southern_52_1",1705.996,574.944,4933.556,826.482,0,11582.726,231.799999213862,8680,0,0,1705.996,574.944,4933.556,11582.726,231.799999213862,28535.5039992139,0,0,28535.5039992139,28535.5039992139,2037.79999783863
"20",1,33,"Southern","DP","Southern_33_1",3103.412,346.656,8974.732,498.318,0,6983.674,109.800000798498,8680,0,0,3103.412,346.656,8974.732,6983.674,109.800000798498,28696.5920007985,0,0,28696.5920007985,28696.5920007985,1403.19999822914
"21",100,42,"Southern","None","Southern_42_100",0,783.168,0,1125.804,0,15777.572,2464.3999874197,8680,0,0,0,783.168,0,15777.572,2464.3999874197,28830.9439874197,0,0,28830.9439874197,28830.9439874197,6156.19998206252
"22",1,45,"Southern","None","Southern_45_1",0,890.88,0,1280.64,0,17947.52,256.200000369525,8680,0,0,0,890.88,0,17947.52,256.200000369525,29055.2400003695,0,0,29055.2400003695,29055.2400003695,2754.60000183422
"23",1,49,"Southern","DP","Southern_49_1",1867.76,582.336,5401.36,837.108,0,11731.644,170.799997911761,8680,0,0,1867.76,582.336,5401.36,11731.644,170.799997911761,29271.0079979118,0,0,29271.0079979118,29271.0079979118,2017.39999722389
"24",1,7,"Southern","ASAQ","Southern_7_1",428.016,3251.04,289.2,1095.582,0,15354.026,195.200000018267,8680,0,0,428.016,3251.04,289.2,15354.026,195.200000018267,29293.0640000183,0,0,29293.0640000183,29293.0640000183,2712.80000446888
"25",1,6,"Southern","ASAQ","Southern_6_1",484.108,3604.032,327.1,1056.252,0,14802.836,353.800001236621,8680,0,0,484.108,3604.032,327.1,14802.836,353.800001236621,29308.1280012366,0,0,29308.1280012366,29308.1280012366,2787.40000411091
