archetype,baseline_eir,scenario_number,iptsc_rdts_used,iptsc_drugs_used,cases_treated,severe_cases_treated,received_smc,received_ivermectin,received_primaquine,pfpr0_5,pfpr2_10,pfpr6_15,pfpr16_500,pfpr_all,clinical_incidence0_5,clinical_incidence2_10,clinical_incidence6_15,clinical_incidence16_500,clinical_incidence_all,severe_incidence0_5,severe_incidence2_10,severe_incidence6_15,severe_incidence16_500,severe_incidence_all,pop0_5,pop2_10,pop6_15,pop16_500,pop_all,avg_age,avg_age_clinical_cases,avg_age_severe_cases,Run_Number,cases_treated_BASELINE,clinical_incidence0_5_BASELINE,clinical_incidence2_10_BASELINE,clinical_incidence6_15_BASELINE,clinical_incidence16_500_BASELINE,clinical_incidence_all_BASELINE,frac_averted_clinical_0_5,frac_averted_clinical_2_10,frac_averted_clinical_6_15,frac_averted_clinical_16_500,frac_averted_clinical__all,cost.CHW,cost.RDT,cost.drug,cost.ACT,cost.smc,cost.facility,cost.severe,cost.bednet,cost.iver,cost.prim,cost.CHW.d,cost.RDT.d,cost.drug.d,cost.facility.d,cost.severe.d,cost.d,cost.smc.ref,cost.smc.low,cost.low,cost,drug_type,screen_type,interval,itn_coverage,hs_rate,within_school_coverage,out_of_school_rate,target_age_range,smc_on,ivermectin,primaquine,smc_age_range
Central,1,0,0.0,6020.0,4388.8,0.0,0.0,0.0,0.0,0.10726346820997168,0.1877973159075478,0.2595272188443439,0.20826812888108429,0.20139707107034682,1.6762674243365872,2.0655637255129826,2.1732736032029423,0.7516095494042634,1.2681586041169304,0.006146900252927462,0.005135970745937581,0.0025114142138200546,0.00028164290712153926,0.0019280139587753195,945.86958904106,1247.8032876712,1195.564383561652,2841.949589041095,4983.383561643806,28.509894619746973,20.814978269906913,7.927953561585642,2.0,5127.8,1.887307744453431,2.3880643027110007,2.5621381011889213,0.8105443116711342,1.4341022943392667,0.11182083088307446,0.13504685649875756,0.1517734339946517,0.07271010531844019,0.11571258959514566,4454.8,2106.624,3010.0,3028.272,0.0,42439.695999999996,585.600000397424,8680,0.0,0.0,4454.8,2106.624,3010.0,42439.695999999996,585.600000397424,64304.992000397404,0.0,0.0,64304.992000397404,64304.992000397404,ASAQ,IPT,term,default,0.8,0.9,0.0,default,False,False,False,default
Central,3,0,0.0,5934.2,4751.8,0.0,0.0,0.0,0.0,0.12917965524144065,0.21833652800754638,0.2928083975527275,0.2076285635101834,0.21267682367799984,1.970246089449057,2.3373194327440663,2.3322723593740635,0.6363670610745469,1.2849462133437366,0.006581249225537477,0.004230903128705298,0.0013710751203403293,0.00020857992315672754,0.0016844661185004897,943.7035616438001,1227.74739726028,1164.598356164412,2877.614794520564,4985.916712328775,28.741727497691677,18.55631440599288,6.6647356396473825,2.0,5466.8,2.215004058897017,2.659904772496309,2.708006768821864,0.7168601398481271,1.4608286118378462,0.11050000945363489,0.12127702581228048,0.13874943510989313,0.1122856109570179,0.12039906466018256,4391.308,2280.864,2967.1,3278.742,0.0,45949.905999999995,512.4000006620939,8680,0.0,0.0,4391.308,2280.864,2967.1,45949.905999999995,512.4000006620939,68060.3200006621,0.0,0.0,68060.3200006621,68060.3200006621,ASAQ,IPT,term,default,0.8,0.9,0.0,default,False,False,False,default
Central,10,0,0.0,6271.2,6570.2,0.0,0.0,0.0,0.0,0.2179142053374598,0.32204952025620015,0.38750459419766414,0.21422647204703216,0.25721040347801666,3.159011617848846,3.1719493659068094,2.425665930720684,0.39899311571747004,1.424374934715369,0.014815428327670238,0.007890733728150036,0.00292279863831204,0.0,0.00356440861664378,971.15945205486,1291.86520547948,1231.6421917808198,2845.5298630137163,5048.331506849398,28.24517803613714,13.591169197704705,4.384038442168944,2.0,7361.8,3.492243139073518,3.5690913726021227,2.829224088028927,0.41783113401589517,1.5967850888708681,0.09542048132223614,0.11127258039509602,0.1426391635133417,0.04508524321145607,0.10797329919796239,4640.688,3153.696,3135.6,4533.438,0.0,63533.834,1097.9999973511901,8680,0.0,0.0,4640.688,3153.696,3135.6,63533.834,1097.9999973511901,88775.2559973512,0.0,0.0,88775.2559973512,88775.2559973512,ASAQ,IPT,term,default,0.8,0.9,0.0,default,False,False,False,default
Central,30,0,0.0,6115.6,7664.4,0.0,0.0,0.0,0.0,0.31878013192453863,0.41363394820191307,0.44059087514095907,0.21231610237590895,0.28692134623550625,4.3140899123891625,3.5870043597286028,2.101398338604043,0.2073646845265535,1.4376933799619134,0.021042357723969153,0.0069445978869119174,0.000839673588557237,0.0,0.004192529715004638,949.45041095898,1266.2076712329201,1193.3386301370122,2863.4235616438145,5006.212602739807,28.05732857003854,9.354965731157563,2.8930267827983496,2.0,8556.6,4.607193874105258,4.048875129700986,2.599600951422368,0.21974414983955387,1.6206291297843904,0.06361876007942426,0.11407384895233671,0.1916458033859905,0.0563358129080535,0.11287946542514324,4525.544,3678.9120000000003,3057.8,5288.436,0.0,74114.74799999999,1281.00000746568,8680,0.0,0.0,4525.544,3678.9120000000003,3057.8,74114.74799999999,1281.00000746568,100626.440007466,0.0,0.0,100626.440007466,100626.440007466,ASAQ,IPT,term,default,0.8,0.9,0.0,default,False,False,False,default
Central,100,0,0.0,6222.2,9609.0,0.0,0.0,0.0,0.0,0.43319316768134836,0.4935092948943378,0.4821194972289479,0.2149586361951989,0.32314216138167345,5.652459115110137,3.867848170413307,1.591170017868072,0.09112108198267063,1.5604627240582736,0.031087651607745563,0.005206431754633048,0.0003322927208582043,7.168733387026933e-05,0.006309819386536975,988.64493150686,1307.27506849314,1206.639999999934,2778.6739726027395,4973.958904109531,27.841902908697584,6.600258478116703,2.525623450647454,2.0,10344.0,5.830746904740688,4.350086652219306,2.1834151469894967,0.10097027104536738,1.7414601672790948,0.03057717862622272,0.11085721282355908,0.271247146901044,0.0975454355101351,0.10393429986033881,4604.428,4612.32,3111.1,6630.21,0.0,92919.03,1915.3999965060398,8680,0.0,0.0,4604.428,4612.32,3111.1,92919.03,1915.3999965060398,122472.487996506,0.0,0.0,122472.487996506,122472.487996506,ASAQ,IPT,term,default,0.8,0.9,0.0,default,False,False,False,default
Central,1,1,0.0,5277.6,4548.2,0.0,0.0,0.0,0.0,0.11099728633755976,0.19280511380078702,0.26534578717693535,0.20962117171998043,0.20438476280517842,1.7155213566601717,2.141911836253488,2.2844659256523117,0.759696942745919,1.3070881713025684,0.006594495207716827,0.005113448358426383,0.003172330653279717,0.00014078797032920362,0.002088335951279166,941.25041095896,1250.8312328767602,1198.10082191781,2842.1939726027385,4981.545205479509,28.541987770688007,20.41795821423462,6.907044251199676,2.0,5127.8,1.887307744453431,2.3880643027110007,2.5621381011889213,0.8105443116711342,1.4341022943392667,0.09102192702706735,0.10307614672606305,0.10837517907709973,0.06273237402700528,0.08856698963390021,3905.4240000000004,2183.136,2638.8,3138.258,0.0,43981.094000000005,634.3999986952169,8680,0.0,0.0,3905.4240000000004,2183.136,2638.8,43981.094000000005,634.3999986952169,65161.111998695196,0.0,0.0,65161.111998695196,65161.111998695196,ASAQ,IPT,term,default,0.8,0.9,0.15,default,False,False,False,default
Central,3,1,0.0,5124.8,4893.8,0.0,0.0,0.0,0.0,0.13048632382087874,0.2223566309784825,0.3012059953241336,0.2123307873286485,0.21746078217858825,1.992871531402891,2.3915132275557083,2.397819662741244,0.6601274678606625,1.315819388468532,0.006979315105318793,0.005065351006459676,0.0022417877980357125,0.0002765708876198219,0.002000762665910917,946.0180821917799,1223.93205479446,1159.630136986248,2890.3463013698865,4995.994520547914,28.74857055379589,19.779719082436678,7.909343379078807,2.0,5466.8,2.215004058897017,2.659904772496309,2.708006768821864,0.7168601398481271,1.4608286118378462,0.10028538169123671,0.1009026893427905,0.11454443528424753,0.07914050291523249,0.09926504874988737,3792.3520000000003,2349.024,2562.4,3376.722,0.0,47323.045999999995,610.000001182061,8680,0.0,0.0,3792.3520000000003,2349.024,2562.4,47323.045999999995,610.000001182061,68693.544001182,0.0,0.0,68693.544001182,68693.544001182,ASAQ,IPT,term,default,0.8,0.9,0.15,default,False,False,False,default
Central,10,1,0.0,5438.4,6605.2,0.0,0.0,0.0,0.0,0.22477443039971026,0.3309169042116565,0.40162559316116403,0.216956587590062,0.2637495353285298,3.221418423202627,3.249507704959105,2.5076248457179657,0.38522962424360374,1.444740878905935,0.013834094424166138,0.006952449953837198,0.002115582365627066,0.0,0.0031462742804763072,954.2602739725801,1294.52219178074,1232.30958904104,2835.669589041092,5022.239452054713,28.295124722868547,13.176912319931926,4.105508368219654,2.0,7361.8,3.492243139073518,3.5690913726021227,2.829224088028927,0.41783113401589517,1.5967850888708681,0.07755036092439421,0.08954202464422159,0.11367047370751543,0.07802556372223617,0.09521895652999103,4024.4159999999997,3170.4959999999996,2719.2,4557.588,0.0,63872.28400000001,963.7999992920869,8680,0.0,0.0,4024.4159999999997,3170.4959999999996,2719.2,63872.28400000001,963.7999992920869,87987.7839992921,0.0,0.0,87987.7839992921,87987.7839992921,ASAQ,IPT,term,default,0.8,0.9,0.15,default,False,False,False,default
Central,30,1,0.0,5303.8,7786.4,0.0,0.0,0.0,0.0,0.3272162313428207,0.4237682176039603,0.45348568664065364,0.21531718679914094,0.29331106797087325,4.404185850530636,3.658609949593159,2.158398362575528,0.21375532584779036,1.4678277942023181,0.02399961424839412,0.007744452191605874,0.001170577726135228,0.0,0.004797417221243374,942.45095890414,1265.2679452055,1195.5227397260078,2864.8476712328807,5002.82136986303,28.10251472910404,9.90927069271948,2.7812181776108407,2.0,8556.6,4.607193874105258,4.048875129700986,2.599600951422368,0.21974414983955387,1.6206291297843904,0.04406326912258433,0.09638854437495292,0.16971935196647658,0.027253621978725016,0.09428519626967405,3924.812,3737.472,2651.9,5372.616,0.0,75294.488,1463.99999901452,8680,0.0,0.0,3924.812,3737.472,2651.9,75294.488,1463.99999901452,101125.287999015,0.0,0.0,101125.287999015,101125.287999015,ASAQ,IPT,term,default,0.8,0.9,0.15,default,False,False,False,default
Central,100,1,0.0,5387.2,9708.4,0.0,0.0,0.0,0.0,0.4400686069287373,0.5002760478574251,0.49044840886159474,0.21555049175709753,0.326472363631105,5.6793296483490305,3.9317412150886972,1.668160054198362,0.09228971296478608,1.5749285512664046,0.02769339477976603,0.004600768296098964,0.0004996652340714242,0.0,0.005575348591180304,974.74794520544,1304.24219178078,1201.233972602674,2773.770410958906,4949.752328767019,27.88423900083054,6.741068937075366,2.012019335242514,2.0,10344.0,5.830746904740688,4.350086652219306,2.1834151469894967,0.10097027104536738,1.7414601672790948,0.025968758182343298,0.09616944915733565,0.23598585614905657,0.08597142496211581,0.09562757687009503,3986.528,4660.032,2693.6,6698.795999999999,0.0,93880.228,1683.6000116395599,8680,0.0,0.0,3986.528,4660.032,2693.6,93880.228,1683.6000116395599,122282.78401164,0.0,0.0,122282.78401164,122282.78401164,ASAQ,IPT,term,default,0.8,0.9,0.15,default,False,False,False,default
