"","baseline_eir","scenario_number","archetype","drug_type","Scenario","cost.CHW","cost.RDT","cost.drug","cost.ACT","cost.smc","cost.facility","cost.severe","cost.bednet","cost.iver","cost.prim","cost.CHW.d","cost.RDT.d","cost.drug.d","cost.facility.d","cost.severe.d","cost.d","cost.smc.ref","cost.smc.low","cost.low","cost","cases"
"11",1,54,"Southern","DP","Southern_54_1",4585.91337511127,321.815340964912,1244.64707906294,143.064094973264,0,6116.90318335839,177.947783503206,13691.520443361,0,0,4585.91337511127,321.815340964912,1244.64707906294,6116.90318335839,177.947783503206,26281.811300335,0,0,26281.811300335,26281.811300335,1276.19999973071
"12",3,38,"Southern","DP","Southern_38_3",5317.62795164144,255.364758086336,1442.68618223931,113.669866623164,0,4818.81801815084,912.442733977535,13691.520443361,0,0,5317.62795164144,255.364758086336,1442.68618223931,4818.81801815084,912.442733977535,26552.1299540797,0,0,26552.1299540797,26552.1299540797,3157.20000117396
"13",1,26,"Southern","DP","Southern_26_1",5721.66881457857,276.232355399126,1553.0308545495,122.874763032507,0,5292.08611889368,119.255422601734,13691.520443361,0,0,5721.66881457857,276.232355399126,1553.0308545495,5292.08611889368,119.255422601734,26776.6687724161,0,0,26776.6687724161,26776.6687724161,1099.59999738747
"14",1,55,"Southern","DP","Southern_55_1",5721.66881457857,276.232355399126,1553.0308545495,122.874763032507,0,5292.08611889368,119.255422601734,13691.520443361,0,0,5721.66881457857,276.232355399126,1553.0308545495,5292.08611889368,119.255422601734,26776.6687724161,0,0,26776.6687724161,26776.6687724161,1099.59999738747
"15",1,52,"Southern","DP","Southern_52_1",2290.71198466668,483.97034301182,622.391814304036,215.070049687662,0,9228.60526334611,321.643354316371,13691.520443361,0,0,2290.71198466668,483.97034301182,622.391814304036,9228.60526334611,321.643354316371,26853.9132526937,0,0,26853.9132526937,26853.9132526937,2037.79999783863
"16",1,34,"Southern","DP","Southern_34_1",5175.71900253228,302.322430942534,1403.45236297385,135.049264224038,0,5830.71367939376,121.612955800156,13691.520443361,280.440140780488,0,5175.71900253228,302.322430942534,1403.45236297385,5830.71367939376,121.612955800156,26940.8302800081,0,0,26940.8302800081,26940.8302800081,1179.00000033416
"17",1,35,"Southern","DP","Southern_35_1",5189.43890119663,302.348574926794,1407.49627867391,134.833110267025,0,5867.33296509581,116.233448843297,13691.520443361,0,244.403911706349,5189.43890119663,302.348574926794,1407.49627867391,5867.33296509581,116.233448843297,26953.6076340709,0,0,26953.6076340709,26953.6076340709,1197.79999892625
"18",1,48,"Southern","DP","Southern_48_1",3721.12543141366,412.212250601857,1009.72998356164,184.582973309246,0,7951.68105684007,151.275221500138,13691.520443361,0,0,3721.12543141366,412.212250601857,1009.72998356164,7951.68105684007,151.275221500138,27122.1273605877,0,0,27122.1273605877,27122.1273605877,1726.60000032163
"19",1,41,"Southern","DP","Southern_41_1",5153.41632208421,337.998735281151,1398.26579924601,150.970682028352,0,6399.32279146457,48.4233579831301,13691.520443361,0,0,5153.41632208421,337.998735281151,1398.26579924601,6399.32279146457,48.4233579831301,27179.9181314485,0,0,27179.9181314485,27179.9181314485,1023.59999987679
"20",1,25,"Southern","DP","Southern_25_1",5194.66686796301,334.76010488195,1409.84209635672,149.183398132347,0,6301.8413238094,166.270697671402,13691.520443361,0,0,5194.66686796301,334.76010488195,1409.84209635672,6301.8413238094,166.270697671402,27248.0849321759,0,0,27248.0849321759,27248.0849321759,1797.20000235912
